Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
C14,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,69.28637695,86.19395447,75.24245453,80.43000793,,
C15,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,71.59195709,80.04574585,62.75391006,75.81884766,,
C16,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,73.89753723,64.6752243,83.3119812,90.99723816,,
C17,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,76.01098633,69.86277771,85.4254303,,,
C18,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,80.81427002,71.97621918,84.6568985,63.33030701,,
C19,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,86.38608551,70.43917084,93.49494934,77.74016571,,
C20,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,86.19395447,83.69624329,77.93229675,71.01556396,,
C21,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,81.1985321,86.19395447,70.82343292,90.42084503,,
C22,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,91.76576233,78.70082092,84.08050537,66.59654236,,
C23,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,71.20769501,88.88378906,65.63587952,79.08508301,,
C24,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,28.94245568,0.69886192,2.132921991,Inconclusive,FALSE,3,26,90.03658295,84.6568985,67.55719757,76.01098633,,
D14,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,72.74475098,91.76576233,66.40441132,76.7795105,,
D15,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,63.90670013,67.55719757,72.5526123,80.81427002,,
D16,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,76.7795105,63.90670013,88.69166565,81.58279419,,
D17,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,86.0018158,80.04574585,62.75391006,71.59195709,,
D18,FALSE,0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,65.05948639,76.39524841,83.3119812,71.01556396,,
