Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,FALSE,T0 1.1,vulgatus,Unknown,SYBR-NFQ-MGB,19.446230404079900,0.8341736821302760,1.9556951387288600,Amp,FALSE,3,17,73.070556640625,64.84622192382810,,,,
A2,FALSE,T0 1.2,vulgatus,Unknown,SYBR-NFQ-MGB,19.61660407516790,0.8080738722954370,1.9193414572753600,Amp,FALSE,3,14,72.8792953491211,,,,,
A3,FALSE,T0 1.3,vulgatus,Unknown,SYBR-NFQ-MGB,19.79622914353370,0.8568020425818500,1.93082254464287,Amp,FALSE,3,16,73.070556640625,,,,,
A4,FALSE,T0 2.1,vulgatus,Unknown,SYBR-NFQ-MGB,19.91861994898390,0.68382823124058,1.9788084880050100,Amp,FALSE,3,16,72.68803405761720,,,,,
A5,FALSE,T0 2.2,vulgatus,Unknown,SYBR-NFQ-MGB,20.651462055740200,0.8725169525413410,1.9825880506321800,Amp,FALSE,3,16,72.8792953491211,,,,,
A6,FALSE,T0 2.3,vulgatus,Unknown,SYBR-NFQ-MGB,21.002601001148700,0.9702985814159920,1.90719867893579,Amp,FALSE,3,18,72.8792953491211,,,,,
A7,FALSE,T0 3.1,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,91.24059295654300,85.3114242553711,73.64434814453130,,,
A8,FALSE,T0 3.2,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,90.47554016113280,78.23467254638670,83.20752716064450,,,
A9,FALSE,T0 3.3,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,91.43185424804690,84.3551025390625,,,,
A10,FALSE,T0 4.1,vulgatus,Unknown,SYBR-NFQ-MGB,19.697411345459000,0.833866487431561,1.9587933542018500,Amp,FALSE,3,14,73.45308685302730,,,,,
A11,FALSE,T0 4.2,vulgatus,Unknown,SYBR-NFQ-MGB,20.307664770965400,0.9390068864770980,1.942205523226700,Amp,FALSE,3,15,73.26182556152340,,,,,
A12,FALSE,T0 4.3,vulgatus,Unknown,SYBR-NFQ-MGB,20.196355016736900,0.9397517239167700,1.922450009495270,Amp,FALSE,3,15,73.26182556152340,,,,,
A13,FALSE,T16 5.1,vulgatus,Unknown,SYBR-NFQ-MGB,22.546281935857400,0.7589182161992860,1.7720583092511600,Amp,FALSE,3,18,72.87567138671880,,,,,
A14,FALSE,T16 5.2,vulgatus,Unknown,SYBR-NFQ-MGB,21.739153566503100,0.6976937140910840,1.7785775704340300,Amp,FALSE,3,17,72.87567138671880,,,,,
A15,FALSE,T16 5.3,vulgatus,Unknown,SYBR-NFQ-MGB,22.182490673391300,0.6830484080978250,1.6811687936569300,Amp,FALSE,3,17,72.87567138671880,,,,,
A16,FALSE,T16 6.1,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,1.0875703265498000,No Amp,FALSE,3,39,80.71826171875,,,,,
A17,FALSE,T16 6.2,vulgatus,Unknown,SYBR-NFQ-MGB,33.461492897166300,0.908790708425292,1.8668163612965100,Amp,FALSE,3,30,69.81513977050780,80.71826171875,,,,
A18,FALSE,T16 6.3,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,80.5269775390625,,,,,
A19,FALSE,T36 5.1,vulgatus,Unknown,SYBR-NFQ-MGB,21.166618630041800,0.9577709482152410,1.6943379317716800,Inconclusive,FALSE,3,16,73.25823211669920,,,,,
A20,FALSE,T36 5.2,vulgatus,Unknown,SYBR-NFQ-MGB,20.49165357995230,0.9887575486758640,1.8658430316218000,Amp,FALSE,3,16,73.06694793701170,,,,,
A21,FALSE,T36 5.3,vulgatus,Unknown,SYBR-NFQ-MGB,20.693041048129700,0.9848893096192960,1.8847145869041700,Amp,FALSE,3,16,72.87567138671880,,,,,
A22,FALSE,T36 6.1,vulgatus,Unknown,SYBR-NFQ-MGB,22.467649786294100,0.7021524057545880,1.6258545895195700,Inconclusive,FALSE,3,18,72.68438720703130,,,,,
A23,FALSE,T36 6.2,vulgatus,Unknown,SYBR-NFQ-MGB,20.085686840350500,0.610866587097283,1.6565105724998400,Amp,FALSE,3,15,72.49310302734380,,,,,
A24,FALSE,T36 6.3,vulgatus,Unknown,SYBR-NFQ-MGB,22.65917143017030,0.678269669515685,1.6993174679384300,Amp,FALSE,3,16,72.49310302734380,,,,,
B1,FALSE,T0 1.1,vulgatus,Unknown,SYBR-NFQ-MGB,20.057046701765200,0.8927844117268400,1.925396977813670,Amp,FALSE,3,17,72.8792953491211,,,,,
B2,FALSE,T0 1.2,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,72.8792953491211,,,,,
B3,FALSE,T0 1.3,vulgatus,Unknown,SYBR-NFQ-MGB,20.037049181811900,0.8594955971321540,2.00401884922176,Amp,FALSE,3,17,73.070556640625,,,,,
B4,FALSE,T0 2.1,vulgatus,Unknown,SYBR-NFQ-MGB,20.584964573167700,0.7367133177958280,1.9653426050594000,Amp,FALSE,3,16,72.68803405761720,,,,,
B5,FALSE,T0 2.2,vulgatus,Unknown,SYBR-NFQ-MGB,19.893055710984300,0.6663085143159700,2.036559528379490,Amp,FALSE,3,16,72.68803405761720,67.52391052246090,,,,
B6,FALSE,T0 2.3,vulgatus,Unknown,SYBR-NFQ-MGB,20.461476689701300,0.6903213992886100,2.0036653039753600,Amp,FALSE,3,17,72.68803405761720,,,,,
B7,FALSE,T0 3.1,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,80.91236114501950,72.68803405761720,84.73763275146480,68.67149353027340,,
B8,FALSE,T0 3.2,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,72.8792953491211,82.25120544433590,,,,
B9,FALSE,T0 3.3,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,73.26182556152340,81.29489135742190,92.77070617675780,78.04341125488280,,
B10,FALSE,T0 4.1,vulgatus,Unknown,SYBR-NFQ-MGB,19.458985269377400,0.7414998307964550,1.9754822206418300,Amp,FALSE,3,15,73.070556640625,,,,,
B11,FALSE,T0 4.2,vulgatus,Unknown,SYBR-NFQ-MGB,20.694254526389100,0.9348805377441490,1.9532281213252400,Amp,FALSE,3,16,73.070556640625,,,,,
B12,FALSE,T0 4.3,vulgatus,Unknown,SYBR-NFQ-MGB,20.513111147329300,0.9272855305644760,1.9341576036045800,Amp,FALSE,3,16,72.8792953491211,,,,,
B13,FALSE,T16 5.1,vulgatus,Unknown,SYBR-NFQ-MGB,22.179884341278400,0.779703914550458,1.7703159739537100,Amp,FALSE,3,16,72.87567138671880,,,,,
B14,FALSE,T16 5.2,vulgatus,Unknown,SYBR-NFQ-MGB,22.479787202174000,0.7451427898544390,1.7399821774255700,Amp,FALSE,3,17,72.87567138671880,,,,,
B15,FALSE,T16 5.3,vulgatus,Unknown,SYBR-NFQ-MGB,22.99618382397110,0.755229877398746,1.6862100675413200,Inconclusive,FALSE,3,19,72.87567138671880,,,,,
B16,FALSE,T16 6.1,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,80.71826171875,,,,,
B17,FALSE,T16 6.2,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,80.71826171875,,,,,
B18,FALSE,T16 6.3,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,14,80.71826171875,,,,,
B19,FALSE,T36 5.1,vulgatus,Unknown,SYBR-NFQ-MGB,11.887028377664400,0,1.8647745861060000,Amp,FALSE,3,11,73.06694793701170,,,,,
B20,FALSE,T36 5.2,vulgatus,Unknown,SYBR-NFQ-MGB,20.949003322344600,0.9925407980337590,1.8575756809603800,Amp,FALSE,3,14,73.06694793701170,,,,,
B21,FALSE,T36 5.3,vulgatus,Unknown,SYBR-NFQ-MGB,20.87506792193590,0.9955887928636840,1.8577718740268400,Amp,FALSE,3,15,73.06694793701170,,,,,
B22,FALSE,T36 6.1,vulgatus,Unknown,SYBR-NFQ-MGB,22.71665772273770,0.6940915274356690,1.6505903905681500,Inconclusive,FALSE,3,16,72.68438720703130,,,,,
B23,FALSE,T36 6.2,vulgatus,Unknown,SYBR-NFQ-MGB,22.705819038782700,0.6797924777070150,1.6448878691298700,Inconclusive,FALSE,3,19,72.49310302734380,,,,,
B24,FALSE,T36 6.3,vulgatus,Unknown,SYBR-NFQ-MGB,22.861967707776600,0.724691203036889,1.6607092934760300,Inconclusive,FALSE,3,19,72.49310302734380,,,,,
C1,FALSE,T0 5.1,vulgatus,Unknown,SYBR-NFQ-MGB,23.296963759072100,0.7908296899241880,1.9399440181143500,Amp,FALSE,3,20,72.49676513671880,,,,,
C2,FALSE,T0 5.2,vulgatus,Unknown,SYBR-NFQ-MGB,22.243415555126400,0.9696693686576590,1.9574670523321300,Amp,FALSE,3,18,72.49676513671880,,,,,
C3,FALSE,T0 5.3,vulgatus,Unknown,SYBR-NFQ-MGB,21.433664861124300,0.892123174321841,1.9851994036809000,Amp,FALSE,3,18,72.68803405761720,,,,,
