Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,Bv_phage_abx_1_T0,vulgatus,Unknown,SYBR-NFQ-MGB,27.107461464774772,0.9669424163800164,1.898336129066548,Amp,false,3,23,73.63243103027344,65.49597930908203,,,,
A2,false,Bv_phage_abx_2_T0,vulgatus,Unknown,SYBR-NFQ-MGB,25.43712161469513,0.6461542040816155,1.940750001602379,Amp,false,3,18,73.43870544433594,,,,,
A3,false,Bv_phage_abx_3_T0,vulgatus,Unknown,SYBR-NFQ-MGB,25.392247181543347,0.6257745904690165,1.8837229133135076,Amp,false,3,15,73.43870544433594,,,,,
A4,false,Bd_phage_abx_1_T0,vulgatus,Unknown,SYBR-NFQ-MGB,23.581857637320653,0.22457235236116513,1.9456753587132012,Amp,false,3,16,73.43870544433594,,,,,
A5,false,Bd_phage_abx_2_T0,vulgatus,Unknown,SYBR-NFQ-MGB,25.43773047677309,0.7127784653581624,1.987885229422506,Amp,false,3,19,73.63243103027344,,,,,
A6,false,Bd_phage_abx_3_T0,vulgatus,Unknown,SYBR-NFQ-MGB,26.18981998738606,0.9820466782165542,1.8389941326334311,Amp,false,3,17,73.43870544433594,,,,,
A7,false,Bv_abx_1_T0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,91.06769561767578,,,,,
A8,false,Bv_abx_2_T0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,86.03083801269531,89.90534973144531,74.40733337402344,,,
A9,false,Bv_abx_3_T0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,90.29279327392578,,,,,
A10,false,Bd_abx_1_T0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,89.90534973144531,86.61201477050781,72.85752868652344,,,
A11,false,Bd_abx_2_T0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,90.68024444580078,85.44966125488281,80.21908569335938,,,
A12,false,Bd_abx_3_T0,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,91.06769561767578,,,,,
