Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,media_phage_1_T0,vulgatus,Unknown,SYBR-NFQ-MGB,27.64180538064813,0.9774140810905129,1.7568936281429854,Amp,false,3,23,73.50839233398438,,,,,
A2,false,media_phage_2_T0,vulgatus,Unknown,SYBR-NFQ-MGB,27.63170337657961,0.9852616298250256,1.7657020485519024,Amp,false,3,23,73.50839233398438,,,,,
A3,false,media_phage_3_T0,vulgatus,Unknown,SYBR-NFQ-MGB,27.65814628001808,0.9905208204220074,1.781841946181731,Amp,false,3,23,73.31623077392578,,,,,
A4,false,Bv_phage_1_T4,vulgatus,Unknown,SYBR-NFQ-MGB,26.923185679186588,0.9887282436316865,1.7775978746978054,Amp,false,3,19,73.31623077392578,,,,,
A5,false,Bv_phage_2_T4,vulgatus,Unknown,SYBR-NFQ-MGB,26.878352793606233,0.9941441231189517,1.7847896672452215,Amp,false,3,18,73.31623077392578,,,,,
A6,false,Bv_phage_3_T4,vulgatus,Unknown,SYBR-NFQ-MGB,26.95551160939258,0.9903068853731216,1.7656407405015755,Amp,false,3,20,73.31623077392578,,,,,
A7,false,media_phage_1_T4,vulgatus,Unknown,SYBR-NFQ-MGB,27.472581949889516,0.9945091055182749,1.773454190862984,Amp,false,3,22,73.50839233398438,,,,,
A8,false,media_phage_2_T4,vulgatus,Unknown,SYBR-NFQ-MGB,27.41994789994498,0.9949165623625515,1.7734835065187444,Amp,false,3,21,73.50839233398438,,,,,
A9,false,media_phage_3_T4,vulgatus,Unknown,SYBR-NFQ-MGB,28.23779805866026,0.9947639849318783,1.7782975517240878,Amp,false,3,21,73.50839233398438,,,,,
A10,false,media_phage_1_T8,vulgatus,Unknown,SYBR-NFQ-MGB,27.4473491253167,0.9961145585658878,1.7770466612480103,Amp,false,3,20,73.50839233398438,,,,,
A11,false,media_phage_2_T8,vulgatus,Unknown,SYBR-NFQ-MGB,27.66792763185586,0.995756668263064,1.7704248156860474,Amp,false,3,21,73.50839233398438,,,,,
A12,false,media_phage_3_T8,vulgatus,Unknown,SYBR-NFQ-MGB,27.633805348820168,0.9964960845534018,1.775756681681939,Amp,false,3,19,73.50839233398438,,,,,
A13,false,340.1_1_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.81436920166016,91.96113586425781,,,,
A14,false,340.1_2_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.62217712402344,91.76895141601562,,,,
A15,false,340.1_3_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.04562377929688,91.00020599365234,,,,
A16,false,340.2_1_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.62217712402344,90.80802154541016,75.43316650390625,,,
A17,false,340.2_2_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.81436920166016,91.19239044189453,,,,
A18,false,340.2_3_T47,vulgatus,Unknown,SYBR-NFQ-MGB,31.731086536158593,0.9014808733522054,1.6527378001119497,Amp,false,3,24,73.70349884033203,,,,,
A19,false,340.3_1_T47,vulgatus,Unknown,SYBR-NFQ-MGB,32.86051026324016,0.8539703868996021,1.6599291901748972,Amp,false,3,27,72.55038452148438,,,,,
A20,false,340.3_2_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,91.38458251953125,,,,
A21,false,340.3_3_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,91.19239044189453,,,,
A22,false,314.1_1_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,91.19239044189453,,,,
A23,false,314.1_2_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,91.38458251953125,,,,
A24,false,314.1_3_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,76.39409637451172,,,,
B1,false,media_phage_1_T0,vulgatus,Unknown,SYBR-NFQ-MGB,27.41370631320182,0.9856765375903227,1.7729075635096412,Amp,false,3,22,73.50839233398438,,,,,
B2,false,media_phage_2_T0,vulgatus,Unknown,SYBR-NFQ-MGB,27.90678402273374,0.9914636616832722,1.7639643543148353,Amp,false,3,23,73.50839233398438,,,,,
B3,false,media_phage_3_T0,vulgatus,Unknown,SYBR-NFQ-MGB,27.48936068891905,0.9925877070014653,1.7706902667528535,Amp,false,3,22,73.31623077392578,,,,,
B4,false,Bv_phage_1_T4,vulgatus,Unknown,SYBR-NFQ-MGB,27.395067774670252,0.9931782674324422,1.7756589325997083,Amp,false,3,22,73.31623077392578,,,,,
B5,false,Bv_phage_2_T4,vulgatus,Unknown,SYBR-NFQ-MGB,27.3074581840391,0.9928637918478921,1.7846203270822194,Amp,false,3,22,73.31623077392578,,,,,
B6,false,Bv_phage_3_T4,vulgatus,Unknown,SYBR-NFQ-MGB,27.675250715409284,0.9883341935040751,1.772783302712089,Amp,false,3,21,73.31623077392578,,,,,
B7,false,media_phage_1_T4,vulgatus,Unknown,SYBR-NFQ-MGB,27.583449907610927,0.9943948176951345,1.7694110087979307,Amp,false,3,22,73.50839233398438,,,,,
B8,false,media_phage_2_T4,vulgatus,Unknown,SYBR-NFQ-MGB,27.695353500359033,0.9933155505817928,1.7687748567195807,Amp,false,3,21,73.50839233398438,,,,,
B9,false,media_phage_3_T4,vulgatus,Unknown,SYBR-NFQ-MGB,27.428305657440298,0.9965051298224811,1.778803281413545,Amp,false,3,22,73.50839233398438,,,,,
B10,false,media_phage_1_T8,vulgatus,Unknown,SYBR-NFQ-MGB,27.365568452005462,0.9948446168320896,1.7741141490006187,Amp,false,3,20,73.50839233398438,,,,,
B11,false,media_phage_2_T8,vulgatus,Unknown,SYBR-NFQ-MGB,27.396113679491755,0.9958240489947502,1.7733469897141367,Amp,false,3,21,73.50839233398438,,,,,
B12,false,media_phage_3_T8,vulgatus,Unknown,SYBR-NFQ-MGB,27.528096628777348,0.9965738570515952,1.7718004199258097,Amp,false,3,21,73.50839233398438,,,,,
B13,false,340.1_1_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.81436920166016,92.34550476074219,,,,
B14,false,340.1_2_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,91.96113586425781,,,,
B15,false,340.1_3_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.62217712402344,91.76895141601562,,,,
B16,false,340.2_1_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,91.76895141601562,,,,
B17,false,340.2_2_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.62217712402344,91.19239044189453,,,,
B18,false,340.2_3_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.81436920166016,76.7784652709961,90.80802154541016,,,
B19,false,340.3_1_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.81436920166016,91.57676696777344,,,,
B20,false,340.3_2_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.23780822753906,91.19239044189453,,,,
B21,false,340.3_3_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,91.57676696777344,,,,
B22,false,314.1_1_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.42999267578125,90.80802154541016,,,,
B23,false,314.1_2_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,91.19239044189453,80.62217712402344,,,,
B24,false,314.1_3_T47,vulgatus,Unknown,SYBR-NFQ-MGB,Undetermined,0,,No Amp,false,3,39,80.23780822753906,,,,,
C1,false,Bv_phage_1_T12,vulgatus,Unknown,SYBR-NFQ-MGB,27.588584905116285,0.9597144096650432,1.6683902367547494,Amp,false,3,23,73.50839233398438,,,,,
C2,false,Bv_phage_2_T12,vulgatus,Unknown,SYBR-NFQ-MGB,26.460208967483254,0.9415681621953534,1.6662395621330075,Amp,false,3,17,73.31623077392578,,,,,
C3,false,Bv_phage_3_T12,vulgatus,Unknown,SYBR-NFQ-MGB,26.889611397430265,0.9708252402982133,1.6650413817984004,Amp,false,3,17,73.50839233398438,,,,,
C4,false,Bd_phage_1_T12,vulgatus,Unknown,SYBR-NFQ-MGB,27.062884860202104,0.9701040001331295,1.6224691911216778,Amp,false,3,17,73.31623077392578,,,,,
C5,false,Bd_phage_2_T12,vulgatus,Unknown,SYBR-NFQ-MGB,27.509930956225112,0.9616898357479114,1.6070780453256326,Amp,false,3,21,73.31623077392578,,,,,
C6,false,Bd_phage_3_T12,vulgatus,Unknown,SYBR-NFQ-MGB,27.575336543360862,0.9759636602562894,1.5916137503308558,Amp,false,3,21,73.50839233398438,,,,,
C7,false,Bs_phage_1_T12,vulgatus,Unknown,SYBR-NFQ-MGB,31.36792594450084,0.9431619615932453,1.5314681044996776,Amp,false,3,25,73.50839233398438,,,,,
C8,false,Bs_phage_2_T12,vulgatus,Unknown,SYBR-NFQ-MGB,31.39952960196075,0.9607263069881273,1.5325321557293274,Amp,false,3,25,73.50839233398438,,,,,
C9,false,Bs_phage_3_T12,vulgatus,Unknown,SYBR-NFQ-MGB,32.1731335772145,0.9503123599600148,1.528562818968955,Amp,false,3,25,73.50839233398438,,,,,
