Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,FALSE,Bv_P_proteinase_1_T0,1,Unknown,SYBR,26.645397,0.962597216,,Amp,FALSE,0,0,73.53784,,,,,
A2,FALSE,Bv_P_proteinase_2_T0,1,Unknown,SYBR,27.151802,0.917202447,,Amp,FALSE,0,0,73.53784,,,,,
A3,FALSE,Bv_P_proteinase_3_T0,1,Unknown,SYBR,26.234266,0.971102533,,Amp,FALSE,0,0,73.53784,,,,,
A4,FALSE,Bd_P_proteinase_1_T0,1,Unknown,SYBR,25.613834,0.842298382,,Amp,FALSE,0,0,73.53784,,,,,
A5,FALSE,Bd_P_proteinase_2_T0,1,Unknown,SYBR,26.403889,0.991458115,,Amp,FALSE,0,0,73.53509,,,,,
A6,FALSE,Bd_P_proteinase_3_T0,1,Unknown,SYBR,26.20842,0.976959931,,Amp,FALSE,0,0,73.53509,,,,,
A7,FALSE,media_P_proteinase_1_T0,1,Unknown,SYBR,30.433708,0.956083653,,Amp,FALSE,0,0,73.87347,,,,,
A8,FALSE,media_P_proteinase_2_T0,1,Unknown,SYBR,30.527891,0.95242417,,Amp,FALSE,0,0,73.87347,,,,,
A9,FALSE,media_P_proteinase_3_T0,1,Unknown,SYBR,29.489807,0.98161419,,Amp,FALSE,0,0,73.760605,,,,,
A10,FALSE,media_1_T0,1,Unknown,SYBR,34.75224,0.966773688,,Amp,FALSE,0,0,73.53502,,,,,
A11,FALSE,media_2_T0,1,Unknown,SYBR,32.373062,0.977699361,,Amp,FALSE,0,0,73.87339,,,,,
A12,FALSE,media_3_T0,1,Unknown,SYBR,31.34084,0.986717986,,Amp,FALSE,0,0,73.08386,64.060715,70.37692,,,
A13,FALSE,Bv_nanopore_1_T40,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
A14,FALSE,Bv_nanopore_2_T40,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.45167,,,,,
A15,FALSE,Bv_nanopore_3_T40,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
A16,FALSE,Bv_nanopore_4_T40,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.226036,,,,,
A17,FALSE,Bv_nanopore_5_T40,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0003,,,,,
A18,FALSE,Bv_sup_pel_1_T40,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0003,,,,,
A19,FALSE,Bv_sup_pel_2_T40,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0003,,,,,
