Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,FALSE,media_1_T12,1,Unknown,SYBR,33.67079,0.9808912733351850,,Amp,FALSE,0,0,73.34982,,,,,
A2,FALSE,media_2_T12,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
A3,FALSE,media_3_T12,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
A4,FALSE,Bd_pel_1_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
A5,FALSE,Bd_pel_2_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
A6,FALSE,Bd_pel_3_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,61.682747,,,,,
A7,FALSE,Bd_sup_1_T44,1,Unknown,SYBR,32.21487,0.9801809291696160,,Amp,FALSE,0,0,73.57274,,,,,
A8,FALSE,Bd_sup_2_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
A9,FALSE,Bd_sup_3_T44,1,Unknown,SYBR,33.59638,0.9643166901905110,,Amp,FALSE,0,0,74.694885,,,,,
A10,FALSE,Bd_pel_1_T0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.22494,,,,,
A11,FALSE,Bd_pel_2_T0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.000603,,,,,
A12,FALSE,Bd_pel_3_T0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,63.141365,,,,,
A13,FALSE,media_1_T36,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
A14,FALSE,media_2_T36,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
A15,FALSE,media_3_T36,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
A16,FALSE,Bd_midi_T44,1,Unknown,SYBR,28.899775,0.725153410338057,,Amp,FALSE,0,0,72.89913,81.19931,,,,
A17,FALSE,Bd_midi_-1_T44,1,Unknown,SYBR,24.67561,0.9779096855450920,,Amp,FALSE,0,0,73.12644,,,,,
A18,FALSE,Bd_midi_-2_T44,1,Unknown,SYBR,26.794533,0.9477360302295990,,Amp,FALSE,0,0,73.23863,,,,,
A19,FALSE,0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,89.50595,,,,,
A20,FALSE,0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,89.842514,,,,,
A21,FALSE,0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0003,,,,,
A22,FALSE,Bd_pel_1_T24,1,Unknown,SYBR,32.710377,0.9391675011136430,,Amp,FALSE,0,0,73.79976,89.843025,,,,
A23,FALSE,Bd_pel_2_T24,1,Unknown,SYBR,39.561977,0,,No Amp,FALSE,0,0,62.244118,,,,,
A24,FALSE,Bd_pel_3_T24,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.112495,,,,,
B1,FALSE,media_1_T12,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
B2,FALSE,media_2_T12,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
B3,FALSE,media_3_T12,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
B4,FALSE,Bd_pel_1_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
B5,FALSE,Bd_pel_2_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
B6,FALSE,Bd_pel_3_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
B7,FALSE,Bd_sup_1_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
B8,FALSE,Bd_sup_2_T44,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
B9,FALSE,Bd_sup_3_T44,1,Unknown,SYBR,32.471733,0.9677184039993320,,Amp,FALSE,0,0,73.57318,89.05266,,,,
B10,FALSE,Bd_pel_1_T0,1,Unknown,SYBR,32.172867,0.9902881476664920,,Amp,FALSE,0,0,73.23667,64.487404,,,,
B11,FALSE,Bd_pel_2_T0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,61.122303,,,,,
B12,FALSE,Bd_pel_3_T0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.000603,,,,,
B13,FALSE,media_1_T36,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
B14,FALSE,media_2_T36,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.224525,,,,,
B15,FALSE,media_3_T36,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.112362,,,,,
B16,FALSE,Bd_midi_T44,1,Unknown,SYBR,26.985418,0.4963471296812180,,Amp,FALSE,0,0,72.786964,81.08715,,,,
B17,FALSE,Bd_midi_-1_T44,1,Unknown,SYBR,24.09263,0.891545510040502,,Amp,FALSE,0,0,73.12644,,,,,
B18,FALSE,Bd_midi_-2_T44,1,Unknown,SYBR,26.261637,0.983963696091536,,Amp,FALSE,0,0,73.23863,,,,,
B19,FALSE,0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,90.066895,,,,,
B20,FALSE,0,1,Unknown,SYBR,32.69377,0.9861823345515400,,Amp,FALSE,0,0,75.145836,,,,,
B21,FALSE,0,1,Unknown,SYBR,33.97316,0.9773977222498480,,Amp,FALSE,0,0,73.2388,,,,,
B22,FALSE,Bd_pel_1_T24,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0003,,,,,
B23,FALSE,Bd_pel_2_T24,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,62.4685,,,,,
B24,FALSE,Bd_pel_3_T24,1,Unknown,SYBR,32.01874,0.9320997943818840,,Amp,FALSE,0,0,73.57538,,,,,
C1,FALSE,Bd_P_dnase_1_T12,1,Unknown,SYBR,30.059965,0.9675146994449720,,Amp,FALSE,0,0,73.462006,,,,,
C2,FALSE,Bd_P_dnase_2_T12,1,Unknown,SYBR,32.293224,0.6591488314195810,,No Amp,FALSE,0,0,73.57419,,,,,
C3,FALSE,Bd_P_dnase_3_T12,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0004,,,,,
C4,FALSE,media_P_dnase_1_T12,1,Unknown,SYBR,29.046768,0.9914483880921570,,Amp,FALSE,0,0,73.68637,,,,,
