Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
A1,FALSE,Bv_1_T0,Bv_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A2,FALSE,Bv_2_T0,Bv_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A3,FALSE,Bv_3_T0,Bv_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A4,FALSE,Bd_1_T0,Bd_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A5,FALSE,Bd_2_T0,Bd_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A6,FALSE,Bd_3_T0,Bd_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A7,FALSE,Bv+P_1_T0,Bv+P_1_T0,Unknown,SYBR,28.011812,0.9830373077245490,,Amp,FALSE,0,0,,,,,,
A8,FALSE,Bv+P_2_T0,Bv+P_2_T0,Unknown,SYBR,28.294855,0.9860251421982860,,Amp,FALSE,0,0,,,,,,
A9,FALSE,Bv+P_3_T0,Bv+P_3_T0,Unknown,SYBR,27.722633,0.9900459000539040,,Amp,FALSE,0,0,,,,,,
A10,FALSE,Bd+P_1_T0,Bd+P_1_T0,Unknown,SYBR,27.567192,0.9908074888696,,Amp,FALSE,0,0,,,,,,
A11,FALSE,Bd+P_2_T0,Bd+P_2_T0,Unknown,SYBR,27.25995,0.990524618974503,,Amp,FALSE,0,0,,,,,,
A12,FALSE,Bd+P_3_T0,Bd+P_3_T0,Unknown,SYBR,27.768343,0.9272618283540190,,Amp,FALSE,0,0,,,,,,
A13,FALSE,Bv_1_T12,Bv_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A14,FALSE,Bv_2_T12,Bv_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A15,FALSE,Bv_3_T12,Bv_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A16,FALSE,Bd_1_T12,Bd_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A17,FALSE,Bd_2_T12,Bd_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A18,FALSE,Bd_3_T12,Bd_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A19,FALSE,Bv+P_1_T12,Bv+P_1_T12,Unknown,SYBR,25.96517,0.6974971582688520,,Amp,FALSE,0,0,,,,,,
A20,FALSE,Bv+P_2_T12,Bv+P_2_T12,Unknown,SYBR,26.559494,0.8784087608378380,,Amp,FALSE,0,0,,,,,,
A21,FALSE,Bv+P_3_T12,Bv+P_3_T12,Unknown,SYBR,27.562973,0.9330508104200720,,Amp,FALSE,0,0,,,,,,
A22,FALSE,Bd+P_1_T12,Bd+P_1_T12,Unknown,SYBR,27.135532,0.94192730996939,,Amp,FALSE,0,0,,,,,,
A23,FALSE,Bd+P_2_T12,Bd+P_2_T12,Unknown,SYBR,27.356518,0.9289469939530520,,Amp,FALSE,0,0,,,,,,
A24,FALSE,Bd+P_3_T12,Bd+P_3_T12,Unknown,SYBR,28.164837,0.9039301150495430,,Amp,FALSE,0,0,,,,,,
B1,FALSE,Bv_1_T0,Bv_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B2,FALSE,Bv_2_T0,Bv_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B3,FALSE,Bv_3_T0,Bv_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B4,FALSE,Bd_1_T0,Bd_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B5,FALSE,Bd_2_T0,Bd_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B6,FALSE,Bd_3_T0,Bd_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B7,FALSE,Bv+P_1_T0,Bv+P_1_T0,Unknown,SYBR,27.791132,0.9813636037384640,,Amp,FALSE,0,0,,,,,,
B8,FALSE,Bv+P_2_T0,Bv+P_2_T0,Unknown,SYBR,27.808086,0.9888619264930780,,Amp,FALSE,0,0,,,,,,
B9,FALSE,Bv+P_3_T0,Bv+P_3_T0,Unknown,SYBR,27.655798,0.9908231677980140,,Amp,FALSE,0,0,,,,,,
B10,FALSE,Bd+P_1_T0,Bd+P_1_T0,Unknown,SYBR,27.797514,0.9866963002714280,,Amp,FALSE,0,0,,,,,,
B11,FALSE,Bd+P_2_T0,Bd+P_2_T0,Unknown,SYBR,27.921806,0.9908567068931330,,Amp,FALSE,0,0,,,,,,
B12,FALSE,Bd+P_3_T0,Bd+P_3_T0,Unknown,SYBR,27.14969,0.992422640467743,,Amp,FALSE,0,0,,,,,,
B13,FALSE,Bv_1_T12,Bv_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B14,FALSE,Bv_2_T12,Bv_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B15,FALSE,Bv_3_T12,Bv_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
B16,FALSE,Bd_1_T12,Bd_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
