Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,
A1,FALSE,Bv_pel_1_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A2,FALSE,Bv_pel_2_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A3,FALSE,Bv_pel_3_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A4,FALSE,Bv+P_pel_1_T12,Target 1,Unknown,SYBR,30.026115,0.8588871795516280,,Amp,FALSE,0,0,,,,,
A5,FALSE,Bv+P_pel_2_T12,Target 1,Unknown,SYBR,28.780216,0.9273481775865990,,Amp,FALSE,0,0,,,,,
A6,FALSE,Bv+P_pel_3_T12,Target 1,Unknown,SYBR,23.550081,0,,Amp,FALSE,0,0,,,,,
A7,FALSE,Bd_pel_1_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A8,FALSE,Bd_pel_2_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A9,FALSE,Bd_pel_3_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A10,FALSE,Bd+P_pel_1_T12,Target 1,Unknown,SYBR,23.744204,0.026231119991830300,,Amp,FALSE,0,0,,,,,
A11,FALSE,Bd+P_pel_2_T12,Target 1,Unknown,SYBR,27.926739,0.49947752317271800,,Amp,FALSE,0,0,,,,,
A12,FALSE,Bd+P_pel_3_T12,Target 1,Unknown,SYBR,26.38596,0.057994074351593500,,Amp,FALSE,0,0,,,,,
A13,FALSE,0,Target 1,Unknown,SYBR,24.520353,0,,No Amp,FALSE,0,0,,,,,
A14,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A15,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A16,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A17,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A18,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
