Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,
A1,FALSE,Bv_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A2,FALSE,Bv_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A3,FALSE,Bv_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A4,FALSE,Bd_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A5,FALSE,Bd_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A6,FALSE,Bd_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A7,FALSE,Bv+P_1_T24,Target 1,Unknown,SYBR,20.864822,0,,Amp,FALSE,0,0,,,,,
A8,FALSE,Bv+P_2_T24,Target 1,Unknown,SYBR,23.431976,0.04925204462271500,,Amp,FALSE,0,0,,,,,
A9,FALSE,Bv+P_3_T24,Target 1,Unknown,SYBR,25.583702,0.5356420973315790,,Amp,FALSE,0,0,,,,,
A10,FALSE,Bd+P_1_T24,Target 1,Unknown,SYBR,23.612736,0.14391201991962400,,Amp,FALSE,0,0,,,,,
A11,FALSE,Bd+P_2_T24,Target 1,Unknown,SYBR,28.571127,0.929721397917581,,Amp,FALSE,0,0,,,,,
A12,FALSE,Bd+P_3_T24,Target 1,Unknown,SYBR,24.996721,0.33481788378301200,,Amp,FALSE,0,0,,,,,
A13,FALSE,Bv_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A14,FALSE,Bv_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A15,FALSE,Bv_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A16,FALSE,Bd_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A17,FALSE,Bd_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A18,FALSE,Bd_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
A19,FALSE,Bv+P_1_T36,Target 1,Unknown,SYBR,24.293238,0.13230037506958500,,Amp,FALSE,0,0,,,,,
A20,FALSE,Bv+P_2_T36,Target 1,Unknown,SYBR,24.050165,0.17109042606795900,,Amp,FALSE,0,0,,,,,
A21,FALSE,Bv+P_3_T36,Target 1,Unknown,SYBR,23.586184,0.0632513298618411,,Amp,FALSE,0,0,,,,,
A22,FALSE,Bd+P_1_T36,Target 1,Unknown,SYBR,19.889936,0,,Amp,FALSE,0,0,,,,,
A23,FALSE,Bd+P_2_T36,Target 1,Unknown,SYBR,20.247288,0,,Amp,FALSE,0,0,,,,,
A24,FALSE,Bd+P_3_T36,Target 1,Unknown,SYBR,17.847746,0,,Amp,FALSE,0,0,,,,,
B1,FALSE,Bv_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B2,FALSE,Bv_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B3,FALSE,Bv_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B4,FALSE,Bd_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B5,FALSE,Bd_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B6,FALSE,Bd_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B7,FALSE,Bv+P_1_T24,Target 1,Unknown,SYBR,18.141047,0,,Amp,FALSE,0,0,,,,,
B8,FALSE,Bv+P_2_T24,Target 1,Unknown,SYBR,27.388117,0.9342625216286450,,Amp,FALSE,0,0,,,,,
B9,FALSE,Bv+P_3_T24,Target 1,Unknown,SYBR,24.517635,0.2957924137622420,,Amp,FALSE,0,0,,,,,
B10,FALSE,Bd+P_1_T24,Target 1,Unknown,SYBR,21.800837,0,,Amp,FALSE,0,0,,,,,
B11,FALSE,Bd+P_2_T24,Target 1,Unknown,SYBR,20.029503,0,,Amp,FALSE,0,0,,,,,
B12,FALSE,Bd+P_3_T24,Target 1,Unknown,SYBR,18.037006,0,,Amp,FALSE,0,0,,,,,
B13,FALSE,Bv_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B14,FALSE,Bv_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B15,FALSE,Bv_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B16,FALSE,Bd_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B17,FALSE,Bd_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B18,FALSE,Bd_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
B19,FALSE,Bv+P_1_T36,Target 1,Unknown,SYBR,24.561047,0.26544617520570300,,Amp,FALSE,0,0,,,,,
B20,FALSE,Bv+P_2_T36,Target 1,Unknown,SYBR,25.399544,0.47812280846090400,,Amp,FALSE,0,0,,,,,
B21,FALSE,Bv+P_3_T36,Target 1,Unknown,SYBR,22.274578,0,,Amp,FALSE,0,0,,,,,
B22,FALSE,Bd+P_1_T36,Target 1,Unknown,SYBR,17.642685,0,,Amp,FALSE,0,0,,,,,
B23,FALSE,Bd+P_2_T36,Target 1,Unknown,SYBR,17.698189,0,,Amp,FALSE,0,0,,,,,
B24,FALSE,Bd+P_3_T36,Target 1,Unknown,SYBR,22.009775,0,,Amp,FALSE,0,0,,,,,
C1,FALSE,Bv+P_DNase_1_T24,Target 1,Unknown,SYBR,38.09738,0.3474614201797760,,No Amp,FALSE,0,0,,,,,
C2,FALSE,Bv+P_DNase_2_T24,Target 1,Unknown,SYBR,32.83428,0.7801607420040490,,No Amp,FALSE,0,0,,,,,
C3,FALSE,Bv+P_DNase_3_T24,Target 1,Unknown,SYBR,32.563686,0.5930375254254440,,No Amp,FALSE,0,0,,,,,
C4,FALSE,Bd+P_DNase_1_T24,Target 1,Unknown,SYBR,19.12232,0,,Amp,FALSE,0,0,,,,,
C5,FALSE,Bd+P_DNase_2_T24,Target 1,Unknown,SYBR,20.369911,0,,Amp,FALSE,0,0,,,,,
C6,FALSE,Bd+P_DNase_3_T24,Target 1,Unknown,SYBR,28.642496,0.598708084749663,,Amp,FALSE,0,0,,,,,
C7,FALSE,media_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C8,FALSE,media_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C9,FALSE,media_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C10,FALSE,media+P_1_T24,Target 1,Unknown,SYBR,32.016064,0.9274754437080180,,Amp,FALSE,0,0,,,,,
C11,FALSE,media+P_2_T24,Target 1,Unknown,SYBR,31.337109,0.9520706537712400,,Amp,FALSE,0,0,,,,,
C12,FALSE,media+P_3_T24,Target 1,Unknown,SYBR,31.89787,0.9841050011695590,,Amp,FALSE,0,0,,,,,
C13,FALSE,Bv+P_DNase_1_T36,Target 1,Unknown,SYBR,32.398575,0.262550168378292,,No Amp,FALSE,0,0,,,,,
C14,FALSE,Bv+P_DNase_2_T36,Target 1,Unknown,SYBR,33.066532,0.39948379357835300,,No Amp,FALSE,0,0,,,,,
C15,FALSE,Bv+P_DNase_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C16,FALSE,Bd+P_DNase_1_T36,Target 1,Unknown,SYBR,21.35131,0,,Amp,FALSE,0,0,,,,,
C17,FALSE,Bd+P_DNase_2_T36,Target 1,Unknown,SYBR,19.020546,0,,Amp,FALSE,0,0,,,,,
C18,FALSE,Bd+P_DNase_3_T36,Target 1,Unknown,SYBR,18.609896,0,,Amp,FALSE,0,0,,,,,
C19,FALSE,media_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C20,FALSE,media_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C21,FALSE,media_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
