Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
A1,FALSE,Bv_1_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A2,FALSE,Bv_2_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A3,FALSE,Bv_3_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A4,FALSE,Bd_1_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A5,FALSE,Bd_2_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A6,FALSE,Bd_3_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A7,FALSE,Bv+P_1_T44,Target 1,Unknown,SYBR,22.552744,0.03075213589107510,,Amp,FALSE,0,0,,,,,,
A8,FALSE,Bv+P_2_T44,Target 1,Unknown,SYBR,25.939907,0.46478103086786100,,Amp,FALSE,0,0,,,,,,
A9,FALSE,Bv+P_3_T44,Target 1,Unknown,SYBR,24.554195,0.19988601413080900,,Amp,FALSE,0,0,,,,,,
A10,FALSE,Bd+P_1_T44,Target 1,Unknown,SYBR,17.197344,0,,Amp,FALSE,0,0,,,,,,
A11,FALSE,Bd+P_2_T44,Target 1,Unknown,SYBR,20.191753,0,,Amp,FALSE,0,0,,,,,,
A12,FALSE,Bd+P_3_T44,Target 1,Unknown,SYBR,16.819284,0,,Amp,FALSE,0,0,,,,,,
A13,FALSE,Bv_pel_1_T0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A14,FALSE,Bv_pel_2_T0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A15,FALSE,Bv_pel_3_T0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A16,FALSE,Bv+P_pel_1_T0,Target 1,Unknown,SYBR,29.289062,0.9769447203210350,,Amp,FALSE,0,0,,,,,,
A17,FALSE,Bv+P_pel_2_T0,Target 1,Unknown,SYBR,29.479204,0.9843621885892630,,Amp,FALSE,0,0,,,,,,
A18,FALSE,Bv+P_pel_3_T0,Target 1,Unknown,SYBR,28.907661,0.9831617037889620,,Amp,FALSE,0,0,,,,,,
A19,FALSE,Bd_pel_1_T0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
A20,FALSE,Bd_pel_2_T0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
