Sequence	Index	reverse_index	GC Skew (0kb)
crass_B1_assembly	0	96400	0.41176471
crass_B1_assembly	100	96300	0.45454545
crass_B1_assembly	200	96200	0.12
crass_B1_assembly	300	96100	0.48148148
crass_B1_assembly	400	96000	-0.10344828
crass_B1_assembly	500	95900	-0.14285714
crass_B1_assembly	600	95800	0.52380952
crass_B1_assembly	700	95700	0.28571429
crass_B1_assembly	800	95600	0.2
crass_B1_assembly	900	95500	0.33333333
crass_B1_assembly	1000	95400	0.1
crass_B1_assembly	1100	95300	0.44
crass_B1_assembly	1200	95200	0.37931034
crass_B1_assembly	1300	95100	0.2
crass_B1_assembly	1400	95000	0.45454545
crass_B1_assembly	1500	94900	0.37931034
crass_B1_assembly	1600	94800	0.07692308
crass_B1_assembly	1700	94700	0.56521739
crass_B1_assembly	1800	94600	0.33333333
crass_B1_assembly	1900	94500	0.27272727
crass_B1_assembly	2000	94400	0.13043478
crass_B1_assembly	2100	94300	0.09677419
crass_B1_assembly	2200	94200	0.40740741
crass_B1_assembly	2300	94100	0.57894737
crass_B1_assembly	2400	94000	0
crass_B1_assembly	2500	93900	0.10344828
crass_B1_assembly	2600	93800	0.28571429
crass_B1_assembly	2700	93700	0.3
crass_B1_assembly	2800	93600	0.30434783
crass_B1_assembly	2900	93500	0.53846154
crass_B1_assembly	3000	93400	0.21052632
crass_B1_assembly	3100	93300	0.16666667
crass_B1_assembly	3200	93200	0.13043478
crass_B1_assembly	3300	93100	0.28
crass_B1_assembly	3400	93000	0.22580645
crass_B1_assembly	3500	92900	0.44
crass_B1_assembly	3600	92800	0.5
crass_B1_assembly	3700	92700	0.5
crass_B1_assembly	3800	92600	-0.08333333
crass_B1_assembly	3900	92500	0.31034483
crass_B1_assembly	4000	92400	-0.03225806
crass_B1_assembly	4100	92300	0.35294118
crass_B1_assembly	4200	92200	0.45454545
crass_B1_assembly	4300	92100	0.23076923
crass_B1_assembly	4400	92000	0.28571429
crass_B1_assembly	4500	91900	0.04347826
crass_B1_assembly	4600	91800	0.36363636
crass_B1_assembly	4700	91700	-0.02702703
crass_B1_assembly	4800	91600	0.55555556
crass_B1_assembly	4900	91500	0.29411765
crass_B1_assembly	5000	91400	0.17647059
crass_B1_assembly	5100	91300	0.09090909
crass_B1_assembly	5200	91200	0.33333333
crass_B1_assembly	5300	91100	0.21212121
crass_B1_assembly	5400	91000	-0.13333333
crass_B1_assembly	5500	90900	0.18181818
crass_B1_assembly	5600	90800	0.14285714
crass_B1_assembly	5700	90700	0.46153846
crass_B1_assembly	5800	90600	0.46666667
crass_B1_assembly	5900	90500	0.33333333
crass_B1_assembly	6000	90400	0.38888889
crass_B1_assembly	6100	90300	0.33333333
crass_B1_assembly	6200	90200	0.02702703
crass_B1_assembly	6300	90100	0.06666667
crass_B1_assembly	6400	90000	0.03448276
crass_B1_assembly	6500	89900	0.46666667
crass_B1_assembly	6600	89800	0.4
crass_B1_assembly	6700	89700	0.27272727
crass_B1_assembly	6800	89600	0.41666667
crass_B1_assembly	6900	89500	0.12820513
crass_B1_assembly	7000	89400	0.21052632
crass_B1_assembly	7100	89300	0.09677419
crass_B1_assembly	7200	89200	0.15789474
crass_B1_assembly	7300	89100	0.11111111
crass_B1_assembly	7400	89000	0.29032258
crass_B1_assembly	7500	88900	0.07142857
crass_B1_assembly	7600	88800	0.22580645
crass_B1_assembly	7700	88700	0.07142857
crass_B1_assembly	7800	88600	0.38461538
crass_B1_assembly	7900	88500	-0.08333333
crass_B1_assembly	8000	88400	0.25
crass_B1_assembly	8100	88300	0.37931034
crass_B1_assembly	8200	88200	0.2173913
crass_B1_assembly	8300	88100	0.35714286
crass_B1_assembly	8400	88000	0.26315789
crass_B1_assembly	8500	87900	0.29411765
crass_B1_assembly	8600	87800	0.38461538
crass_B1_assembly	8700	87700	0.03030303
crass_B1_assembly	8800	87600	0.41935484
crass_B1_assembly	8900	87500	0.29411765
crass_B1_assembly	9000	87400	0.17647059
crass_B1_assembly	9100	87300	0.0212766
crass_B1_assembly	9200	87200	0.2173913
crass_B1_assembly	9300	87100	0.64285714
crass_B1_assembly	9400	87000	0.42857143
crass_B1_assembly	9500	86900	-0.09090909
crass_B1_assembly	9600	86800	0.09090909
crass_B1_assembly	9700	86700	0.25925926
crass_B1_assembly	9800	86600	-0.12
crass_B1_assembly	9900	86500	0.44444444
crass_B1_assembly	10000	86400	-0.2
crass_B1_assembly	10100	86300	0.47826087
crass_B1_assembly	10200	86200	0.125
crass_B1_assembly	10300	86100	-0.3
crass_B1_assembly	10400	86000	-0.41935484
crass_B1_assembly	10500	85900	-0.10526316
crass_B1_assembly	10600	85800	-0.10526316
crass_B1_assembly	10700	85700	-0.23529412
crass_B1_assembly	10800	85600	-0.12
crass_B1_assembly	10900	85500	-0.25925926
crass_B1_assembly	11000	85400	-0.29411765
crass_B1_assembly	11100	85300	-0.25
crass_B1_assembly	11200	85200	-0.15384615
crass_B1_assembly	11300	85100	0
crass_B1_assembly	11400	85000	0
crass_B1_assembly	11500	84900	-0.35483871
crass_B1_assembly	11600	84800	-0.35294118
crass_B1_assembly	11700	84700	-0.46666667
crass_B1_assembly	11800	84600	-0.27272727
crass_B1_assembly	11900	84500	0.03448276
crass_B1_assembly	12000	84400	-0.35483871
crass_B1_assembly	12100	84300	0.08333333
crass_B1_assembly	12200	84200	-0.38461538
crass_B1_assembly	12300	84100	0.04
crass_B1_assembly	12400	84000	-0.26666667
crass_B1_assembly	12500	83900	-0.23076923
crass_B1_assembly	12600	83800	-0.16666667
crass_B1_assembly	12700	83700	-0.16129032
crass_B1_assembly	12800	83600	0
crass_B1_assembly	12900	83500	-0.07142857
crass_B1_assembly	13000	83400	-0.28571429
crass_B1_assembly	13100	83300	-0.52
crass_B1_assembly	13200	83200	-0.41935484
crass_B1_assembly	13300	83100	-0.2
crass_B1_assembly	13400	83000	-0.26666667
crass_B1_assembly	13500	82900	-0.21212121
crass_B1_assembly	13600	82800	-0.46153846
